"\u00df"	1256
"\u00e0"	490
"a\u00ebrial"	28
"ab"	99
"abandon"	502
"abandoned"	1117
"abandoning"	111
"abandons"	26
"abashed"	155
"abate"	153
"abated"	287
"abatement"	101
"abating"	35
"abb\u00e9"	25
"abbe"	26
"abbess"	175
"abbey"	208
"abbot"	91
"abbots"	27
"abdicate"	45
"abdicated"	41
"abdication"	59
"abdomen"	35
"abed"	29
"abhor"	163
"abhorred"	173
"abhorrence"	381
"abhorrent"	51
"abhors"	39
"abide"	287
"abilities"	835
"ability"	684
"abject"	306
"abjure"	41
"abjured"	42
"able"	7962
"abler"	35
"ablest"	120
"ably"	67
"aboard"	234
"abode"	573
"abodes"	84
"abolish"	136
"abolished"	312
"abolishing"	53
"abolition"	558
"abominable"	293
"abominably"	74
"abomination"	73
"abominations"	44
"aborigines"	47
"abortive"	85
"abound"	290
"abounded"	128
"abounding"	134
"abounds"	198
"abreast"	128
"abridge"	51
"abridged"	75
"abridgment"	40
"abroad"	1939
"abrupt"	348
"abruptly"	724
"abruptness"	52
"absence"	2503
"absent"	1057
"absented"	24
"absolute"	1820
"absolutely"	2540
"absolution"	64
"absolve"	47
"absolved"	67
"absorb"	80
"absorbed"	605
"absorbs"	31
"abstain"	171
"abstained"	90
"abstaining"	47
"abstemious"	33
"abstinence"	179
"abstract"	866
"abstracted"	202
"abstractedly"	55
"abstraction"	220
"abstractions"	68
"abstracts"	24
"abstruse"	113
"absurd"	1219
"absurdities"	174
"absurdity"	527
"absurdly"	124
"abundance"	693
"abundant"	718
"abundantly"	308
"abuse"	845
"abused"	411
"abuses"	204
"abusing"	113
"abusive"	80
"abyss"	205
"ac"	59
"academic"	78
"academical"	51
"academies"	40
"academy"	130
"acceded"	61
"accelerate"	45
"accelerated"	79
"accelerating"	27
"accent"	464
"accents"	245
"accept"	2007
"acceptable"	302
"acceptance"	365
"acceptation"	86
"accepted"	1733
"accepting"	379
"accepts"	82
"access"	418
"accessible"	196
"accession"	328
"accessions"	27
"accessory"	49
"accident"	1923
"accidental"	582
"accidentally"	390
"accidents"	566
"acclamation"	52
"acclamations"	192
"accommodate"	257
"accommodated"	211
"accommodating"	85
"accommodation"	439
"accompanied"	1970
"accompanies"	148
"accompany"	996
"accompanying"	328
"accomplice"	132
"accomplices"	96
"accomplish"	437
"accomplished"	1213
"accomplishing"	105
"accomplishment"	278
"accomplishments"	421
"accord"	436
"according"	4515
"accordingly"	1940
"accost"	48
"accosted"	224
"account"	9299
"accountable"	149
"accounted"	579
"accounting"	105
"accounts"	1314
"accoutrements"	34
"accrue"	60
"accrued"	28
"accumulate"	144
"accumulated"	424
"accumulating"	109
"accumulation"	309
"accuracy"	452
"accurate"	576
"accurately"	420
"accursed"	252
"accusation"	396
"accusations"	146
"accuse"	409
"accused"	820
"accuser"	136
"accusers"	59
"accuses"	75
"accusing"	127
"accustom"	53
"accustomed"	1709
"ace"	72
"ache"	165
"ached"	88
"aches"	84
"achieve"	167
"achieved"	348
"achievement"	173
"achievements"	153
"aching"	185
"acid"	287
"acknowledge"	1009
"acknowledged"	1279
"acknowledgement"	54
"acknowledges"	122
"acknowledging"	182
"acknowledgment"	318
"acknowledgments"	154
"acquaint"	635
"acquaintance"	2893
"acquaintances"	341
"acquainted"	2982
"acquainting"	153
"acquiesce"	168
"acquiesced"	178
"acquiescence"	155
"acquiescing"	20
"acquire"	784
"acquired"	1560
"acquirements"	133
"acquires"	169
"acquiring"	318
"acquisition"	339
"acquisitions"	114
"acquit"	165
"acquittal"	72
"acquitted"	220
"acquitting"	28
"acre"	243
"acres"	366
"acrimonious"	25
"acrimony"	55
"across"	3991
"act"	5646
"acted"	2050
"acting"	1231
"action"	4528
"actions"	2329
"active"	1901
"activity"	979
"actor"	359
"actors"	310
"actress"	125
"actresses"	36
"acts"	1444
"actual"	1664
"actually"	2873
"actuated"	240
"acute"	414
"acuteness"	152
"acutest"	23
"ad"	528
"adage"	41
"adamant"	35
"adamantine"	27
"adapt"	111
"adapted"	773
"adapting"	44
"add"	2371
"added"	5284
"adder"	24
"addicted"	192
"adding"	798
"addition"	1201
"additional"	1134
"additionally"	30
"additions"	225
"address"	2218
"addressed"	1797
"addresses"	562
"addressing"	640
"adds"	646
"adduced"	117
"adept"	59
"adequate"	541
"adequately"	105
"adhere"	186
"adhered"	229
"adherence"	127
"adherent"	47
"adherents"	205
"adheres"	40
"adhering"	86
"adieu"	370
"adjacent"	507
"adjoining"	383
"adjourn"	68
"adjourned"	155
"adjournment"	38
"adjudged"	50
"adjuration"	27
"adjured"	26
"adjust"	98
"adjusted"	241
"adjusting"	100
"adjustment"	122
"administer"	160
"administered"	280
"administering"	64
"administration"	1047
"admirable"	1104
"admirably"	354
"admiral"	338
"admirals"	58
"admiralty"	118
"admiration"	1924
"admire"	1040
"admired"	1110
"admirer"	317
"admirers"	323
"admires"	113
"admiring"	401
"admission"	451
"admit"	2183
"admits"	406
"admittance"	218
"admitted"	2305
"admitting"	281
"admonished"	126
"admonishing"	22
"admonition"	139
"admonitions"	102
"ado"	132
"adonis"	1
"adopt"	657
"adopted"	1253
"adopting"	154
"adoption"	214
"adopts"	59
"adorable"	117
"adoration"	233
"adore"	249
"adored"	290
"adorer"	27
"adores"	61
"adoring"	72
"adorn"	216
"adorned"	562
"adorning"	51
"adorns"	49
"adrift"	81
"adroitness"	37
"adulation"	76
"adult"	213
"adulterated"	25
"adultery"	87
"advance"	1721
"advanced"	2628
"advancement"	245
"advances"	650
"advancing"	778
"advantage"	3841
"advantageous"	607
"advantageously"	107
"advantages"	1533
"advent"	110
"adventitious"	55
"adventure"	970
"adventurer"	399
"adventurers"	268
"adventures"	623
"adventurous"	166
"adversaries"	185
"adversary"	331
"adverse"	288
"adversity"	207
"advertise"	70
"advertised"	158
"advertisement"	221
"advertisements"	130
"advertiser"	12
"advice"	2334
"advices"	35
"advisable"	158
"advise"	771
"advised"	743
"adviser"	128
"advisers"	63
"advises"	69
"advising"	155
"advocate"	393
"advocates"	228
"aerial"	162
"afar"	191
"affability"	101
"affable"	115
"affair"	2488
"affairs"	2769
"affect"	1040
"affectation"	443
"affectations"	44
"affected"	2737
"affecting"	726
"affection"	3591
"affectionate"	1394
"affectionately"	368
"affections"	1604
"affects"	324
"affinity"	182
"affirm"	521
"affirmation"	64
"affirmative"	240
"affirmed"	461
"affirming"	111
"affirms"	164
"affix"	33
